fy-ending,total1-2,difference,
2009,444067735,,
2010,437056806,-7010929,-1.6
2011,444067735,7010929,1.6
2012,436068363,-7999372,-1.8
2013,400713596,-35354767,-8.1
2014,394292365,-6421231,-1.6
2015,409941226,15648861,4.0
