fy-ending,scope1,scope2,total1-2,net-energy
2009,817345.947494,242481.582339,1059827.52983,20908838.6699
2010,1159111.17627,322437.318644,1481548.49492,25868123.085
2011,817345.947494,242481.582339,1059827.52983,20908838.6699
2012,800892.924171,232444.42891,1033337.35308,19474525.1374
2013,757921.112745,224220.053922,982141.166667,9888902.83578
2014,747931.865526,216108.146699,964040.012225,12452500.1149
2015,800111.337469,217112.548387,1017223.88586,12910067.6898
